,ApeCoin,Avalanche,Axie Infinity Shards,BUSD,Binance Coin,Bitcoin,Cardano,Chainlink,Cosmos,Dai,Dogecoin,Ethereum,FTX Token,LEO Token,Litecoin,Near,OKX,Optimism,Polkadot,Polygon,STEPN,Shiba Inu,Solana,Stellar,TRON,Tether,USD Coin,Uniswap Protocol Token,Wrapped Bitcoin,XRP
2017-09-05,,,,,0.20150983772216605,8.514341064912513,,,,,0.6432432432432433,8.044368764753955,,,31.733666178875787,,,,,,,,,4.693467336683416,1.8136882129277565,102.0,,,,16.5876052027544
2017-09-06,,,,,0.1947532148447562,8.919155973564116,,,,,0.6457869634340222,8.575194885042494,,,35.05207884996126,,,,,,,,,5.1206030150753765,1.933460076045627,102.0,,,,17.704667176740628
2017-09-07,,,,,0.27343517803007783,8.95177212491233,,,,,0.6359300476947536,8.48537445000797,,,34.53989842472239,,,,,,,,,5.097989949748744,1.7214828897338403,101.0,,,,17.37566947207345
2017-09-08,,,,,0.2011135548554558,8.3547748964162,,,,,0.5723370429252782,7.7604855869828695,,,31.501248170784198,,,,,,,,,4.5954773869346734,2.064638783269962,101.0,,,,16.23565416985463
2017-09-09,,,,,0.19009689116091066,8.371536778814216,,,,,0.5494435612082671,7.6863521011656415,,,30.597400361539123,,,,,,,,,4.494974874371859,2.685361216730038,101.8,,,,16.296863045141546
2017-09-10,,,,,0.18674830093720898,8.199206089275176,,,,,0.4909379968203498,7.570471089205608,,,28.871481449599724,,,,,,,,,4.193467336683416,1.9904942965779466,102.69999999999999,,,,16.625860749808723
2017-09-11,,,,,0.20071727198874553,8.145154811818903,,,,,0.4839427662957074,7.538591160151101,,,29.32340535422226,,,,,,,,,4.326633165829145,1.900190114068441,100.2,,,,16.396327467482784
2017-09-12,,,,,0.2072559392894648,8.031258979579855,,,,,0.4747217806041335,7.441180265817886,,,28.35930102436085,,,,,,,,,4.125628140703517,1.9572243346007605,99.9,,,,16.029074215761284
2017-09-13,,,,,0.1854405674770651,7.473887767997009,,,,,0.44642289348171704,6.979174309837488,,,26.59034174055264,,,,,,,,,3.836683417085427,1.8564638783269964,98.17,,,,15.172149961744456
2017-09-14,,,,,0.13273494620460086,6.262687277345042,,,,,0.30302066772655006,5.645783626367231,,,19.45424808470345,,,,,,,,,2.841708542713568,1.3146387832699618,101.69999999999999,,,,13.091048201989288
2017-09-15,,,,,0.16083140145435812,7.171613868024508,,,,,0.3068362480127186,6.567518400538416,,,22.380993371782733,,,,,,,,,3.0879396984924625,1.7271863117870723,100.4,,,,14.123947972456005
2017-09-16,,,,,0.15938496899086568,7.1429564561827394,,,,,0.2906200317965024,6.438986623080563,,,22.424033743651545,,,,,,,,,2.9849246231155777,1.7414448669201519,99.57000000000001,,,,13.986228003060445
2017-09-17,,,,,0.15538251203709208,7.124977985546159,,,,,0.2750397456279809,6.537915609273516,,,21.950589653094603,,,,,,,,,2.821608040201005,3.180608365019012,99.74,,,,13.879112471308341
2017-09-18,,,,,0.17781212229289264,7.918019718771144,,,,,0.2988871224165342,7.527964517132932,,,24.17147284152535,,,,,,,,,3.394472361809045,3.1112167300380227,101.6,,,,14.789594491201225
2017-09-19,,,,,0.15869147397412273,7.5466320202934645,,,,,0.27853736089030207,7.160333271766274,,,22.725316346733234,,,,,,,,,2.9874371859296476,2.450570342205323,99.94,,,,14.139250191277736
2017-09-20,,,,,0.1478729517129327,7.496809835285538,,,,,0.26645468998410177,7.174502129123833,,,22.191615735559957,,,,,,,,,3.0904522613065324,2.5874524714828895,99.53999999999999,,,,13.902065799540933
2017-09-21,,,,,0.13687610216172305,6.985282758279751,,0.5144474232946082,,,0.2467408585055644,6.521975644746263,,,19.996556770250496,,,,,,,,,2.6557788944723613,1.9724334600760456,100.2,,,,13.083397092578425
2017-09-22,,,,,0.14165131070558162,6.953535598530515,,0.47006255585344053,,,0.2461049284578696,6.652784559993726,,,20.51734526986313,,,,,,,,,2.7060301507537687,1.974334600760456,100.1,,,,13.221117061973988
2017-09-23,,,,,0.1526283461134558,7.315016792779877,,0.39767649687220735,,,0.3001589825119237,7.2397800790925855,,,21.2145992941379,,,,,,,,,2.9899497487437183,2.2300380228136882,100.2,,,,13.703136954858456
